MC	<p>001. 0669</p> <p>Which one of the following <span style="color: #793AAA;">chromosome</span> shape categories correspond to the description <strong>'the <span style="color: #b45918;"> centromere</span> situated so that one arm is somewhat shorter than the other'</strong>.</p>	A. Metacentric&nbsp; 	Incorrect	B. Acentric&nbsp; 	Incorrect	C. Submetacentric&nbsp; 	Correct	D. Acrocentric&nbsp; 	Incorrect
MC	<p>001. 243a</p> <p>Which one of the following <span style="color: #793AAA;">chromosome</span> shape categories correspond to the description <strong>'the <span style="color: #b45918;"> centromere</span> is located midway between the ends of the <span style="color: #793AAA;">chromosome</span>'</strong>.</p>	A. Dicentric&nbsp; 	Incorrect	B. Metacentric&nbsp; 	Correct	C. Acrocentric&nbsp; 	Incorrect	D. Submetacentric&nbsp; 	Incorrect
MC	<p>001. 3e9e</p> <p>Which one of the following <span style="color: #793AAA;">chromosome</span> shape categories correspond to the description <strong>'spindle fibers cannot attach and the <span style="color: #793AAA;">chromosome</span> is lost when the cell divides'</strong>.</p>	A. Acrocentric&nbsp; 	Incorrect	B. Metacentric&nbsp; 	Incorrect	C. Acentric&nbsp; 	Correct	D. Submetacentric&nbsp; 	Incorrect
MC	<p>001. 490d</p> <p>Which one of the following <span style="color: #793AAA;">chromosome</span> shape categories correspond to the description <strong>'an abnormal <span style="color: #793AAA;">chromosome</span> that lacks a <span style="color: #b45918;"> centromere</span>'</strong>.</p>	A. Metacentric&nbsp; 	Incorrect	B. Acentric&nbsp; 	Correct	C. Acrocentric&nbsp; 	Incorrect	D. Submetacentric&nbsp; 	Incorrect
MC	<p>001. 4d91</p> <p>Which one of the following <span style="color: #793AAA;">chromosome</span> shape categories correspond to the description <strong>'the <span style="color: #793AAA;">chromosome</span> most resembles the letter V during metaphase'</strong>.</p>	A. Acentric&nbsp; 	Incorrect	B. Acrocentric&nbsp; 	Correct	C. Dicentric&nbsp; 	Incorrect	D. Submetacentric&nbsp; 	Incorrect
MC	<p>001. 59b2</p> <p>Which one of the following <span style="color: #793AAA;">chromosome</span> shape categories correspond to the description <strong>'an unstable <span style="color: #793AAA;">chromosome</span> lacking spindle fiber attachment'</strong>.</p>	A. Acentric&nbsp; 	Correct	B. Dicentric&nbsp; 	Incorrect	C. Submetacentric&nbsp; 	Incorrect	D. Metacentric&nbsp; 	Incorrect
MC	<p>001. 66bd</p> <p>Which one of the following <span style="color: #793AAA;">chromosome</span> shape categories correspond to the description <strong>'the <span style="color: #793AAA;">chromosome</span> most resembles the letter I after separation'</strong>.</p>	A. Acentric&nbsp; 	Incorrect	B. Submetacentric&nbsp; 	Incorrect	C. Acrocentric&nbsp; 	Correct	D. Metacentric&nbsp; 	Incorrect
MC	<p>001. 66bd</p> <p>Which one of the following <span style="color: #793AAA;">chromosome</span> shape categories correspond to the description <strong>'the <span style="color: #793AAA;">chromosome</span> most resembles the letter I after separation'</strong>.</p>	A. Dicentric&nbsp; 	Incorrect	B. Submetacentric&nbsp; 	Incorrect	C. Acentric&nbsp; 	Incorrect	D. Acrocentric&nbsp; 	Correct
MC	<p>001. 66bd</p> <p>Which one of the following <span style="color: #793AAA;">chromosome</span> shape categories correspond to the description <strong>'the <span style="color: #793AAA;">chromosome</span> most resembles the letter I after separation'</strong>.</p>	A. Submetacentric&nbsp; 	Incorrect	B. Acentric&nbsp; 	Incorrect	C. Acrocentric&nbsp; 	Correct	D. Dicentric&nbsp; 	Incorrect
MC	<p>001. 8804</p> <p>Which one of the following <span style="color: #793AAA;">chromosome</span> shape categories correspond to the description <strong>'the two arms of the <span style="color: #793AAA;">chromosome</span>s are almost equal'</strong>.</p>	A. Acentric&nbsp; 	Incorrect	B. Submetacentric&nbsp; 	Incorrect	C. Dicentric&nbsp; 	Incorrect	D. Metacentric&nbsp; 	Correct
MC	<p>001. 8967</p> <p>Which one of the following <span style="color: #793AAA;">chromosome</span> shape categories correspond to the description <strong>'a <span style="color: #793AAA;">chromosome</span> with two arms of equal length'</strong>.</p>	A. Acentric&nbsp; 	Incorrect	B. Acrocentric&nbsp; 	Incorrect	C. Dicentric&nbsp; 	Incorrect	D. Metacentric&nbsp; 	Correct
MC	<p>001. 8967</p> <p>Which one of the following <span style="color: #793AAA;">chromosome</span> shape categories correspond to the description <strong>'a <span style="color: #793AAA;">chromosome</span> with two arms of equal length'</strong>.</p>	A. Submetacentric&nbsp; 	Incorrect	B. Metacentric&nbsp; 	Correct	C. Acentric&nbsp; 	Incorrect	D. Acrocentric&nbsp; 	Incorrect
MC	<p>001. 93fc</p> <p>Which one of the following <span style="color: #793AAA;">chromosome</span> shape categories correspond to the description <strong>'a slight asymmetry in the length of the two <span style="color: #793AAA;">chromosome</span> arms'</strong>.</p>	A. Acentric&nbsp; 	Incorrect	B. Metacentric&nbsp; 	Incorrect	C. Submetacentric&nbsp; 	Correct	D. Dicentric&nbsp; 	Incorrect
MC	<p>001. b080</p> <p>Which one of the following <span style="color: #793AAA;">chromosome</span> shape categories correspond to the description <strong>'the <span style="color: #b45918;"> centromere</span> is closer to the end rather than the center'</strong>.</p>	A. Submetacentric&nbsp; 	Incorrect	B. Dicentric&nbsp; 	Incorrect	C. Acrocentric&nbsp; 	Correct	D. Metacentric&nbsp; 	Incorrect
MC	<p>001. b327</p> <p>Which one of the following <span style="color: #793AAA;">chromosome</span> shape categories correspond to the description <strong>'the <span style="color: #b45918;"> centromere</span> divides the <span style="color: #793AAA;">chromosome</span> into two arms with equal length'</strong>.</p>	A. Acentric&nbsp; 	Incorrect	B. Metacentric&nbsp; 	Correct	C. Submetacentric&nbsp; 	Incorrect	D. Dicentric&nbsp; 	Incorrect
MC	<p>001. bd07</p> <p>Which one of the following <span style="color: #793AAA;">chromosome</span> shape categories correspond to the description <strong>'the <span style="color: #b45918;"> centromere</span> is very offset from the center leading to a very short arm'</strong>.</p>	A. Metacentric&nbsp; 	Incorrect	B. Acrocentric&nbsp; 	Correct	C. Acentric&nbsp; 	Incorrect	D. Dicentric&nbsp; 	Incorrect
MC	<p>001. bd14</p> <p>Which one of the following <span style="color: #793AAA;">chromosome</span> shape categories correspond to the description <strong>'the <span style="color: #b45918;"> centromere</span> slightly offset from the center'</strong>.</p>	A. Acentric&nbsp; 	Incorrect	B. Metacentric&nbsp; 	Incorrect	C. Acrocentric&nbsp; 	Incorrect	D. Submetacentric&nbsp; 	Correct
MC	<p>001. e0f8</p> <p>Which one of the following <span style="color: #793AAA;">chromosome</span> shape categories correspond to the description <strong>'the <span style="color: #793AAA;">chromosome</span> most resembles the letter J after separation'</strong>.</p>	A. Submetacentric&nbsp; 	Correct	B. Dicentric&nbsp; 	Incorrect	C. Acentric&nbsp; 	Incorrect	D. Acrocentric&nbsp; 	Incorrect
MC	<p>001. e0f8</p> <p>Which one of the following <span style="color: #793AAA;">chromosome</span> shape categories correspond to the description <strong>'the <span style="color: #793AAA;">chromosome</span> most resembles the letter J after separation'</strong>.</p>	A. Submetacentric&nbsp; 	Correct	B. Dicentric&nbsp; 	Incorrect	C. Acrocentric&nbsp; 	Incorrect	D. Metacentric&nbsp; 	Incorrect
MC	<p>002. 00d1</p> <p>Which one of the following <span style="color: #793AAA;">chromosome</span> shape categories correspond to the description <strong>'an unstable <span style="color: #793AAA;">chromosome</span> due to unpredictable spindle fiber attachment'</strong>.</p>	A. Dicentric&nbsp; 	Correct	B. Submetacentric&nbsp; 	Incorrect	C. Metacentric&nbsp; 	Incorrect	D. Acrocentric&nbsp; 	Incorrect
MC	<p>002. 0669</p> <p>Which one of the following <span style="color: #793AAA;">chromosome</span> shape categories correspond to the description <strong>'the <span style="color: #b45918;"> centromere</span> situated so that one arm is somewhat shorter than the other'</strong>.</p>	A. Acrocentric&nbsp; 	Incorrect	B. Acentric&nbsp; 	Incorrect	C. Submetacentric&nbsp; 	Correct	D. Metacentric&nbsp; 	Incorrect
MC	<p>002. 0669</p> <p>Which one of the following <span style="color: #793AAA;">chromosome</span> shape categories correspond to the description <strong>'the <span style="color: #b45918;"> centromere</span> situated so that one arm is somewhat shorter than the other'</strong>.</p>	A. Dicentric&nbsp; 	Incorrect	B. Submetacentric&nbsp; 	Correct	C. Metacentric&nbsp; 	Incorrect	D. Acrocentric&nbsp; 	Incorrect
MC	<p>002. 243a</p> <p>Which one of the following <span style="color: #793AAA;">chromosome</span> shape categories correspond to the description <strong>'the <span style="color: #b45918;"> centromere</span> is located midway between the ends of the <span style="color: #793AAA;">chromosome</span>'</strong>.</p>	A. Metacentric&nbsp; 	Correct	B. Submetacentric&nbsp; 	Incorrect	C. Dicentric&nbsp; 	Incorrect	D. Acentric&nbsp; 	Incorrect
MC	<p>002. 366c</p> <p>Which one of the following <span style="color: #793AAA;">chromosome</span> shape categories correspond to the description <strong>'a <span style="color: #793AAA;">chromosome</span> with slightly shorter p arm relative to q arm'</strong>.</p>	A. Submetacentric&nbsp; 	Correct	B. Acentric&nbsp; 	Incorrect	C. Dicentric&nbsp; 	Incorrect	D. Metacentric&nbsp; 	Incorrect
MC	<p>002. 3e9e</p> <p>Which one of the following <span style="color: #793AAA;">chromosome</span> shape categories correspond to the description <strong>'spindle fibers cannot attach and the <span style="color: #793AAA;">chromosome</span> is lost when the cell divides'</strong>.</p>	A. Dicentric&nbsp; 	Incorrect	B. Acentric&nbsp; 	Correct	C. Acrocentric&nbsp; 	Incorrect	D. Metacentric&nbsp; 	Incorrect
MC	<p>002. 411f</p> <p>Which one of the following <span style="color: #793AAA;">chromosome</span> shape categories correspond to the description <strong>'an abnormal <span style="color: #793AAA;">chromosome</span> that has two <span style="color: #b45918;"> centromeres</span> that often appear in cancer cells'</strong>.</p>	A. Dicentric&nbsp; 	Correct	B. Submetacentric&nbsp; 	Incorrect	C. Acrocentric&nbsp; 	Incorrect	D. Metacentric&nbsp; 	Incorrect
MC	<p>002. 4330</p> <p>Which one of the following <span style="color: #793AAA;">chromosome</span> shape categories correspond to the description <strong>'an unstable <span style="color: #793AAA;">chromosome</span> with no <span style="color: #b45918;"> centromere</span>'</strong>.</p>	A. Metacentric&nbsp; 	Incorrect	B. Acrocentric&nbsp; 	Incorrect	C. Acentric&nbsp; 	Correct	D. Submetacentric&nbsp; 	Incorrect
MC	<p>002. 4330</p> <p>Which one of the following <span style="color: #793AAA;">chromosome</span> shape categories correspond to the description <strong>'an unstable <span style="color: #793AAA;">chromosome</span> with no <span style="color: #b45918;"> centromere</span>'</strong>.</p>	A. Metacentric&nbsp; 	Incorrect	B. Dicentric&nbsp; 	Incorrect	C. Submetacentric&nbsp; 	Incorrect	D. Acentric&nbsp; 	Correct
MC	<p>002. 59b2</p> <p>Which one of the following <span style="color: #793AAA;">chromosome</span> shape categories correspond to the description <strong>'an unstable <span style="color: #793AAA;">chromosome</span> lacking spindle fiber attachment'</strong>.</p>	A. Dicentric&nbsp; 	Incorrect	B. Submetacentric&nbsp; 	Incorrect	C. Acentric&nbsp; 	Correct	D. Acrocentric&nbsp; 	Incorrect
MC	<p>002. 66bd</p> <p>Which one of the following <span style="color: #793AAA;">chromosome</span> shape categories correspond to the description <strong>'the <span style="color: #793AAA;">chromosome</span> most resembles the letter I after separation'</strong>.</p>	A. Submetacentric&nbsp; 	Incorrect	B. Acrocentric&nbsp; 	Correct	C. Dicentric&nbsp; 	Incorrect	D. Acentric&nbsp; 	Incorrect
MC	<p>002. 7e4f</p> <p>Which one of the following <span style="color: #793AAA;">chromosome</span> shape categories correspond to the description <strong>'the <span style="color: #b45918;"> centromere</span> is located very close to one end of the <span style="color: #793AAA;">chromosome</span>'</strong>.</p>	A. Dicentric&nbsp; 	Incorrect	B. Metacentric&nbsp; 	Incorrect	C. Acrocentric&nbsp; 	Correct	D. Acentric&nbsp; 	Incorrect
