MC	<p>001. 65fd</p> <p>Which one of the following dna sequencing technique correspond to the description <strong>'takes advantage that di-deoxynucleotide triphosphates terminate DNA strand elongation and molecules of different lengths can be separated on a gel'</strong>.</p>	A. Illumina sequencing by synthesis&nbsp; 	Incorrect	B. Classical Sanger sequencing&nbsp; 	Correct	C. Terminal-dye Sanger sequencing&nbsp; 	Incorrect	D. Oxford Nanopore sequencing&nbsp; 	Incorrect
MC	<p>002. 8cfb</p> <p>Which one of the following dna sequencing technique correspond to the description <strong>'detects individual hydrogen ions released during DNA synthesis using microscopic pH meters'</strong>.</p>	A. Ion Torrent semiconductor sequencing&nbsp; 	Correct	B. Illumina sequencing by synthesis&nbsp; 	Incorrect	C. ABI solid sequencing&nbsp; 	Incorrect	D. Classical Sanger sequencing&nbsp; 	Incorrect
MC	<p>003. 7534</p> <p>Which one of the following dna sequencing technique correspond to the description <strong>'detects fluorescently tagged di-deoxynucleotide triphosphates that terminate DNA strand elongation'</strong>.</p>	A. ABI solid sequencing&nbsp; 	Incorrect	B. Terminal-dye Sanger sequencing&nbsp; 	Correct	C. Oxford Nanopore sequencing&nbsp; 	Incorrect	D. Classical Sanger sequencing&nbsp; 	Incorrect
MC	<p>004. 6851</p> <p>Which one of the following dna sequencing technique correspond to the description <strong>'detects the light from the luciferase enzyme as it consumes the diphosphate molecules released when nucleotides are added to the DNA template'</strong>.</p>	A. Roche 454 pyrosequencing&nbsp; 	Correct	B. Classical Sanger sequencing&nbsp; 	Incorrect	C. Illumina sequencing by synthesis&nbsp; 	Incorrect	D. Terminal-dye Sanger sequencing&nbsp; 	Incorrect
MC	<p>004. 7534</p> <p>Which one of the following dna sequencing technique correspond to the description <strong>'detects fluorescently tagged di-deoxynucleotide triphosphates that terminate DNA strand elongation'</strong>.</p>	A. Ion Torrent semiconductor sequencing&nbsp; 	Incorrect	B. Classical Sanger sequencing&nbsp; 	Incorrect	C. ABI solid sequencing&nbsp; 	Incorrect	D. Terminal-dye Sanger sequencing&nbsp; 	Correct
MC	<p>004. d94d</p> <p>Which one of the following dna sequencing technique correspond to the description <strong>'detects the electrical signal of nucleotides on a single-strand of DNA as it is pulled through a membrane protein channel'</strong>.</p>	A. Oxford Nanopore sequencing&nbsp; 	Correct	B. PacBio single molecule real time (SMRT) sequencing&nbsp; 	Incorrect	C. Roche 454 pyrosequencing&nbsp; 	Incorrect	D. ABI solid sequencing&nbsp; 	Incorrect
MC	<p>006. 65fd</p> <p>Which one of the following dna sequencing technique correspond to the description <strong>'takes advantage that di-deoxynucleotide triphosphates terminate DNA strand elongation and molecules of different lengths can be separated on a gel'</strong>.</p>	A. Illumina sequencing by synthesis&nbsp; 	Incorrect	B. PacBio single molecule real time (SMRT) sequencing&nbsp; 	Incorrect	C. ABI solid sequencing&nbsp; 	Incorrect	D. Classical Sanger sequencing&nbsp; 	Correct
MC	<p>006. 8cfb</p> <p>Which one of the following dna sequencing technique correspond to the description <strong>'detects individual hydrogen ions released during DNA synthesis using microscopic pH meters'</strong>.</p>	A. ABI solid sequencing&nbsp; 	Incorrect	B. PacBio single molecule real time (SMRT) sequencing&nbsp; 	Incorrect	C. Ion Torrent semiconductor sequencing&nbsp; 	Correct	D. Classical Sanger sequencing&nbsp; 	Incorrect
MC	<p>006. d94d</p> <p>Which one of the following dna sequencing technique correspond to the description <strong>'detects the electrical signal of nucleotides on a single-strand of DNA as it is pulled through a membrane protein channel'</strong>.</p>	A. PacBio single molecule real time (SMRT) sequencing&nbsp; 	Incorrect	B. Oxford Nanopore sequencing&nbsp; 	Correct	C. ABI solid sequencing&nbsp; 	Incorrect	D. Classical Sanger sequencing&nbsp; 	Incorrect
MC	<p>007. c3a7</p> <p>Which one of the following dna sequencing technique correspond to the description <strong>'detects the light emitted from fluorescently tagged nucleotides as they are added to the DNA template'</strong>.</p>	A. Oxford Nanopore sequencing&nbsp; 	Incorrect	B. Classical Sanger sequencing&nbsp; 	Incorrect	C. Illumina sequencing by synthesis&nbsp; 	Correct	D. Roche 454 pyrosequencing&nbsp; 	Incorrect
MC	<p>007. c3a7</p> <p>Which one of the following dna sequencing technique correspond to the description <strong>'detects the light emitted from fluorescently tagged nucleotides as they are added to the DNA template'</strong>.</p>	A. Oxford Nanopore sequencing&nbsp; 	Incorrect	B. Classical Sanger sequencing&nbsp; 	Incorrect	C. PacBio single molecule real time (SMRT) sequencing&nbsp; 	Incorrect	D. Illumina sequencing by synthesis&nbsp; 	Correct
