MC	<p>000. 7864</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkRed">A</span></strong> &rarr; <strong><span style="color: DarkOrange">B</span></strong> &rarr; <strong><span style="color: DarkGoldenRod">C</span></strong> &rarr; <strong><span style="color: DarkGreen">D</span></strong>.</p> <p>Product <strong><span style="color: DarkGreen">D</span></strong> binds to the enzyme that converts <strong><span style="color: DarkRed">A</span></strong> &rarr; <strong><span style="color: DarkOrange">B</span></strong> at a location far away from its active site.</p> <p>This binding <strong><span style="color: seagreen">increases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkGreen">D</span></strong> functions as?</p>	A.  activator&nbsp; 	Correct	B.  molecular stopper&nbsp; 	Incorrect	C.  non-competitive inhibitor&nbsp; 	Incorrect	D.  competitive inhibitor&nbsp; 	Incorrect
MC	<p>001. 138c</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkOrange">B</span></strong> &rarr; <strong><span style="color: DarkGoldenRod">C</span></strong> &rarr; <strong><span style="color: DarkGreen">D</span></strong> &rarr; <strong><span style="color: DarkCyan">E</span></strong>.</p> <p>Product <strong><span style="color: DarkCyan">E</span></strong> binds to the enzyme that converts <strong><span style="color: DarkOrange">B</span></strong> &rarr; <strong><span style="color: DarkGoldenRod">C</span></strong> in its active site.</p> <p>This binding <strong><span style="color: brown">decreases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkCyan">E</span></strong> functions as?</p>	A.  molecular stopper&nbsp; 	Incorrect	B.  non-competitive inhibitor&nbsp; 	Incorrect	C.  competitive inhibitor&nbsp; 	Correct	D.  activator&nbsp; 	Incorrect
MC	<p>002. 354b</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkGoldenRod">C</span></strong> &rarr; <strong><span style="color: DarkGreen">D</span></strong> &rarr; <strong><span style="color: DarkCyan">E</span></strong> &rarr; <strong><span style="color: DarkBlue">F</span></strong>.</p> <p>Product <strong><span style="color: DarkBlue">F</span></strong> binds to the enzyme that converts <strong><span style="color: DarkGoldenRod">C</span></strong> &rarr; <strong><span style="color: DarkGreen">D</span></strong> at a location far away from its active site.</p> <p>This binding <strong><span style="color: seagreen">increases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkBlue">F</span></strong> functions as?</p>	A.  non-competitive inhibitor&nbsp; 	Incorrect	B.  competitive inhibitor&nbsp; 	Incorrect	C.  activator&nbsp; 	Correct	D.  molecular stopper&nbsp; 	Incorrect
MC	<p>003. 5941</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkGreen">D</span></strong> &rarr; <strong><span style="color: DarkCyan">E</span></strong> &rarr; <strong><span style="color: DarkBlue">F</span></strong> &rarr; <strong><span style="color: DarkSlateBlue">G</span></strong>.</p> <p>Product <strong><span style="color: DarkSlateBlue">G</span></strong> binds to the enzyme that converts <strong><span style="color: DarkGreen">D</span></strong> &rarr; <strong><span style="color: DarkCyan">E</span></strong> in its active site.</p> <p>This binding <strong><span style="color: brown">decreases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkSlateBlue">G</span></strong> functions as?</p>	A.  molecular stopper&nbsp; 	Incorrect	B.  non-competitive inhibitor&nbsp; 	Incorrect	C.  activator&nbsp; 	Incorrect	D.  competitive inhibitor&nbsp; 	Correct
MC	<p>004. 24f0</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkCyan">E</span></strong> &rarr; <strong><span style="color: DarkBlue">F</span></strong> &rarr; <strong><span style="color: DarkSlateBlue">G</span></strong> &rarr; <strong><span style="color: DarkMagenta">H</span></strong>.</p> <p>Product <strong><span style="color: DarkMagenta">H</span></strong> binds to the enzyme that converts <strong><span style="color: DarkCyan">E</span></strong> &rarr; <strong><span style="color: DarkBlue">F</span></strong> in its active site.</p> <p>This binding <strong><span style="color: brown">decreases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkMagenta">H</span></strong> functions as?</p>	A.  molecular stopper&nbsp; 	Incorrect	B.  competitive inhibitor&nbsp; 	Correct	C.  activator&nbsp; 	Incorrect	D.  non-competitive inhibitor&nbsp; 	Incorrect
MC	<p>005. 9c7d</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkBlue">F</span></strong> &rarr; <strong><span style="color: DarkSlateBlue">G</span></strong> &rarr; <strong><span style="color: DarkMagenta">H</span></strong> &rarr; <strong><span style="color: DarkViolet">I</span></strong>.</p> <p>Product <strong><span style="color: DarkViolet">I</span></strong> binds to the enzyme that converts <strong><span style="color: DarkBlue">F</span></strong> &rarr; <strong><span style="color: DarkSlateBlue">G</span></strong> at a location far away from its active site.</p> <p>This binding <strong><span style="color: seagreen">increases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkViolet">I</span></strong> functions as?</p>	A.  activator&nbsp; 	Correct	B.  non-competitive inhibitor&nbsp; 	Incorrect	C.  competitive inhibitor&nbsp; 	Incorrect	D.  molecular stopper&nbsp; 	Incorrect
MC	<p>006. ff7a</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkSlateBlue">G</span></strong> &rarr; <strong><span style="color: DarkMagenta">H</span></strong> &rarr; <strong><span style="color: DarkViolet">I</span></strong> &rarr; <strong><span style="color: DarkRed">J</span></strong>.</p> <p>Product <strong><span style="color: DarkRed">J</span></strong> binds to the enzyme that converts <strong><span style="color: DarkSlateBlue">G</span></strong> &rarr; <strong><span style="color: DarkMagenta">H</span></strong> at a location far away from its active site.</p> <p>This binding <strong><span style="color: brown">decreases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkRed">J</span></strong> functions as?</p>	A.  non-competitive inhibitor&nbsp; 	Correct	B.  competitive inhibitor&nbsp; 	Incorrect	C.  activator&nbsp; 	Incorrect	D.  molecular stopper&nbsp; 	Incorrect
MC	<p>007. 2da6</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkMagenta">H</span></strong> &rarr; <strong><span style="color: DarkViolet">I</span></strong> &rarr; <strong><span style="color: DarkRed">J</span></strong> &rarr; <strong><span style="color: DarkOrange">K</span></strong>.</p> <p>Product <strong><span style="color: DarkOrange">K</span></strong> binds to the enzyme that converts <strong><span style="color: DarkMagenta">H</span></strong> &rarr; <strong><span style="color: DarkViolet">I</span></strong> at a location far away from its active site.</p> <p>This binding <strong><span style="color: brown">decreases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkOrange">K</span></strong> functions as?</p>	A.  molecular stopper&nbsp; 	Incorrect	B.  activator&nbsp; 	Incorrect	C.  non-competitive inhibitor&nbsp; 	Correct	D.  competitive inhibitor&nbsp; 	Incorrect
MC	<p>008. 399f</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkViolet">I</span></strong> &rarr; <strong><span style="color: DarkRed">J</span></strong> &rarr; <strong><span style="color: DarkOrange">K</span></strong> &rarr; <strong><span style="color: DarkGoldenRod">L</span></strong>.</p> <p>Product <strong><span style="color: DarkGoldenRod">L</span></strong> binds to the enzyme that converts <strong><span style="color: DarkViolet">I</span></strong> &rarr; <strong><span style="color: DarkRed">J</span></strong> at a location far away from its active site.</p> <p>This binding <strong><span style="color: brown">decreases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkGoldenRod">L</span></strong> functions as?</p>	A.  molecular stopper&nbsp; 	Incorrect	B.  non-competitive inhibitor&nbsp; 	Correct	C.  activator&nbsp; 	Incorrect	D.  competitive inhibitor&nbsp; 	Incorrect
MC	<p>009. 51e4</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkRed">J</span></strong> &rarr; <strong><span style="color: DarkOrange">K</span></strong> &rarr; <strong><span style="color: DarkGoldenRod">L</span></strong> &rarr; <strong><span style="color: DarkGreen">M</span></strong>.</p> <p>Product <strong><span style="color: DarkGreen">M</span></strong> binds to the enzyme that converts <strong><span style="color: DarkRed">J</span></strong> &rarr; <strong><span style="color: DarkOrange">K</span></strong> at a location far away from its active site.</p> <p>This binding <strong><span style="color: seagreen">increases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkGreen">M</span></strong> functions as?</p>	A.  activator&nbsp; 	Correct	B.  molecular stopper&nbsp; 	Incorrect	C.  non-competitive inhibitor&nbsp; 	Incorrect	D.  competitive inhibitor&nbsp; 	Incorrect
MC	<p>010. 3b0a</p> <p>A series of enzymes catalyze the reaction <strong><span style="color: DarkOrange">K</span></strong> &rarr; <strong><span style="color: DarkGoldenRod">L</span></strong> &rarr; <strong><span style="color: DarkGreen">M</span></strong> &rarr; <strong><span style="color: DarkCyan">N</span></strong>.</p> <p>Product <strong><span style="color: DarkCyan">N</span></strong> binds to the enzyme that converts <strong><span style="color: DarkOrange">K</span></strong> &rarr; <strong><span style="color: DarkGoldenRod">L</span></strong> in its active site.</p> <p>This binding <strong><span style="color: brown">decreases</span></strong> the activity of the enzyme.</p> <p>What does substance <strong><span style="color: DarkCyan">N</span></strong> functions as?</p>	A.  activator&nbsp; 	Incorrect	B.  molecular stopper&nbsp; 	Incorrect	C.  competitive inhibitor&nbsp; 	Correct	D.  non-competitive inhibitor&nbsp; 	Incorrect
