MC	<p>001. 3a46</p> <table border="0" style="border-collapse: collapse; border: white solid 0px; width: 400px;"><tr>  <th align="center" style="vert-align: middle; border: solid black 1px">Enzyme</th>  <th align="center" style="vert-align: middle; border: solid black 1px">Effective<br/>Temperature<br/>Range (&deg;C)</th>  <th align="center" style="vert-align: middle; border: solid black 1px">Optimum<br/>pH</th></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">A</td>  <td align="center" style="vert-align: middle; border: solid black 1px">45&ndash;57</td>  <td align="center" style="vert-align: middle; border: solid black 1px">10.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">B</td>  <td align="center" style="vert-align: middle; border: solid black 1px">35&ndash;53</td>  <td align="center" style="vert-align: middle; border: solid black 1px">2.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">C</td>  <td align="center" style="vert-align: middle; border: solid black 1px">70&ndash;85</td>  <td align="center" style="vert-align: middle; border: solid black 1px">8.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">D</td>  <td align="center" style="vert-align: middle; border: solid black 1px">60&ndash;68</td>  <td align="center" style="vert-align: middle; border: solid black 1px">5.0&nbsp;</td></tr></table>  <p>Which one of the enzymes would be most active under the following conditions?</p> <p>The temperature is 64&deg;C and the pH is 4.8.</p>	A.  Enzyme A&nbsp; 	Incorrect	B.  Enzyme B&nbsp; 	Incorrect	C.  Enzyme C&nbsp; 	Incorrect	D.  Enzyme D&nbsp; 	Correct
MC	<p>002. 7f73</p> <table border="0" style="border-collapse: collapse; border: white solid 0px; width: 400px;"><tr>  <th align="center" style="vert-align: middle; border: solid black 1px">Enzyme</th>  <th align="center" style="vert-align: middle; border: solid black 1px">Effective<br/>Temperature<br/>Range (&deg;C)</th>  <th align="center" style="vert-align: middle; border: solid black 1px">Optimum<br/>pH</th></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">A</td>  <td align="center" style="vert-align: middle; border: solid black 1px">50&ndash;58</td>  <td align="center" style="vert-align: middle; border: solid black 1px">4.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">B</td>  <td align="center" style="vert-align: middle; border: solid black 1px">30&ndash;40</td>  <td align="center" style="vert-align: middle; border: solid black 1px">2.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">C</td>  <td align="center" style="vert-align: middle; border: solid black 1px">65&ndash;77</td>  <td align="center" style="vert-align: middle; border: solid black 1px">6.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">D</td>  <td align="center" style="vert-align: middle; border: solid black 1px">15&ndash;25</td>  <td align="center" style="vert-align: middle; border: solid black 1px">8.0&nbsp;</td></tr></table>  <p>Which one of the enzymes would be most active under the following conditions?</p> <p>The temperature is 72&deg;C and the pH is 5.8.</p>	A.  Enzyme A&nbsp; 	Incorrect	B.  Enzyme B&nbsp; 	Incorrect	C.  Enzyme C&nbsp; 	Correct	D.  Enzyme D&nbsp; 	Incorrect
MC	<p>003. 39ec</p> <table border="0" style="border-collapse: collapse; border: white solid 0px; width: 400px;"><tr>  <th align="center" style="vert-align: middle; border: solid black 1px">Enzyme</th>  <th align="center" style="vert-align: middle; border: solid black 1px">Effective<br/>Temperature<br/>Range (&deg;C)</th>  <th align="center" style="vert-align: middle; border: solid black 1px">Optimum<br/>pH</th></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">A</td>  <td align="center" style="vert-align: middle; border: solid black 1px">40&ndash;58</td>  <td align="center" style="vert-align: middle; border: solid black 1px">8.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">B</td>  <td align="center" style="vert-align: middle; border: solid black 1px">60&ndash;72</td>  <td align="center" style="vert-align: middle; border: solid black 1px">3.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">C</td>  <td align="center" style="vert-align: middle; border: solid black 1px">20&ndash;28</td>  <td align="center" style="vert-align: middle; border: solid black 1px">10.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">D</td>  <td align="center" style="vert-align: middle; border: solid black 1px">30&ndash;40</td>  <td align="center" style="vert-align: middle; border: solid black 1px">1.0&nbsp;</td></tr></table>  <p>Which one of the enzymes would be most active under the following conditions?</p> <p>The temperature is 64&deg;C and the pH is 3.2.</p>	A.  Enzyme A&nbsp; 	Incorrect	B.  Enzyme B&nbsp; 	Correct	C.  Enzyme C&nbsp; 	Incorrect	D.  Enzyme D&nbsp; 	Incorrect
MC	<p>004. 6942</p> <table border="0" style="border-collapse: collapse; border: white solid 0px; width: 400px;"><tr>  <th align="center" style="vert-align: middle; border: solid black 1px">Enzyme</th>  <th align="center" style="vert-align: middle; border: solid black 1px">Effective<br/>Temperature<br/>Range (&deg;C)</th>  <th align="center" style="vert-align: middle; border: solid black 1px">Optimum<br/>pH</th></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">A</td>  <td align="center" style="vert-align: middle; border: solid black 1px">20&ndash;30</td>  <td align="center" style="vert-align: middle; border: solid black 1px">8.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">B</td>  <td align="center" style="vert-align: middle; border: solid black 1px">65&ndash;77</td>  <td align="center" style="vert-align: middle; border: solid black 1px">10.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">C</td>  <td align="center" style="vert-align: middle; border: solid black 1px">55&ndash;70</td>  <td align="center" style="vert-align: middle; border: solid black 1px">6.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">D</td>  <td align="center" style="vert-align: middle; border: solid black 1px">35&ndash;53</td>  <td align="center" style="vert-align: middle; border: solid black 1px">4.0&nbsp;</td></tr></table>  <p>Which one of the enzymes would be most active under the following conditions?</p> <p>The temperature is 68&deg;C and the pH is 5.6.</p>	A.  Enzyme A&nbsp; 	Incorrect	B.  Enzyme B&nbsp; 	Incorrect	C.  Enzyme C&nbsp; 	Correct	D.  Enzyme D&nbsp; 	Incorrect
MC	<p>005. ad3d</p> <table border="0" style="border-collapse: collapse; border: white solid 0px; width: 400px;"><tr>  <th align="center" style="vert-align: middle; border: solid black 1px">Enzyme</th>  <th align="center" style="vert-align: middle; border: solid black 1px">Effective<br/>Temperature<br/>Range (&deg;C)</th>  <th align="center" style="vert-align: middle; border: solid black 1px">Optimum<br/>pH</th></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">A</td>  <td align="center" style="vert-align: middle; border: solid black 1px">30&ndash;40</td>  <td align="center" style="vert-align: middle; border: solid black 1px">9.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">B</td>  <td align="center" style="vert-align: middle; border: solid black 1px">75&ndash;85</td>  <td align="center" style="vert-align: middle; border: solid black 1px">4.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">C</td>  <td align="center" style="vert-align: middle; border: solid black 1px">15&ndash;23</td>  <td align="center" style="vert-align: middle; border: solid black 1px">7.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">D</td>  <td align="center" style="vert-align: middle; border: solid black 1px">60&ndash;75</td>  <td align="center" style="vert-align: middle; border: solid black 1px">1.0&nbsp;</td></tr></table>  <p>Which one of the enzymes would be most active under the following conditions?</p> <p>The temperature is 18&deg;C and the pH is 6.8.</p>	A.  Enzyme A&nbsp; 	Incorrect	B.  Enzyme B&nbsp; 	Incorrect	C.  Enzyme C&nbsp; 	Correct	D.  Enzyme D&nbsp; 	Incorrect
MC	<p>006. 9e72</p> <table border="0" style="border-collapse: collapse; border: white solid 0px; width: 400px;"><tr>  <th align="center" style="vert-align: middle; border: solid black 1px">Enzyme</th>  <th align="center" style="vert-align: middle; border: solid black 1px">Effective<br/>Temperature<br/>Range (&deg;C)</th>  <th align="center" style="vert-align: middle; border: solid black 1px">Optimum<br/>pH</th></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">A</td>  <td align="center" style="vert-align: middle; border: solid black 1px">70&ndash;82</td>  <td align="center" style="vert-align: middle; border: solid black 1px">10.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">B</td>  <td align="center" style="vert-align: middle; border: solid black 1px">30&ndash;45</td>  <td align="center" style="vert-align: middle; border: solid black 1px">8.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">C</td>  <td align="center" style="vert-align: middle; border: solid black 1px">60&ndash;70</td>  <td align="center" style="vert-align: middle; border: solid black 1px">5.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">D</td>  <td align="center" style="vert-align: middle; border: solid black 1px">50&ndash;68</td>  <td align="center" style="vert-align: middle; border: solid black 1px">2.0&nbsp;</td></tr></table>  <p>Which one of the enzymes would be most active under the following conditions?</p> <p>The temperature is 80&deg;C and the pH is 9.8.</p>	A.  Enzyme A&nbsp; 	Correct	B.  Enzyme B&nbsp; 	Incorrect	C.  Enzyme C&nbsp; 	Incorrect	D.  Enzyme D&nbsp; 	Incorrect
MC	<p>007. c415</p> <table border="0" style="border-collapse: collapse; border: white solid 0px; width: 400px;"><tr>  <th align="center" style="vert-align: middle; border: solid black 1px">Enzyme</th>  <th align="center" style="vert-align: middle; border: solid black 1px">Effective<br/>Temperature<br/>Range (&deg;C)</th>  <th align="center" style="vert-align: middle; border: solid black 1px">Optimum<br/>pH</th></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">A</td>  <td align="center" style="vert-align: middle; border: solid black 1px">75&ndash;83</td>  <td align="center" style="vert-align: middle; border: solid black 1px">9.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">B</td>  <td align="center" style="vert-align: middle; border: solid black 1px">55&ndash;70</td>  <td align="center" style="vert-align: middle; border: solid black 1px">3.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">C</td>  <td align="center" style="vert-align: middle; border: solid black 1px">15&ndash;25</td>  <td align="center" style="vert-align: middle; border: solid black 1px">6.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">D</td>  <td align="center" style="vert-align: middle; border: solid black 1px">40&ndash;52</td>  <td align="center" style="vert-align: middle; border: solid black 1px">1.0&nbsp;</td></tr></table>  <p>Which one of the enzymes would be most active under the following conditions?</p> <p>The temperature is 77&deg;C and the pH is 9.0.</p>	A.  Enzyme A&nbsp; 	Correct	B.  Enzyme B&nbsp; 	Incorrect	C.  Enzyme C&nbsp; 	Incorrect	D.  Enzyme D&nbsp; 	Incorrect
MC	<p>008. 028f</p> <table border="0" style="border-collapse: collapse; border: white solid 0px; width: 400px;"><tr>  <th align="center" style="vert-align: middle; border: solid black 1px">Enzyme</th>  <th align="center" style="vert-align: middle; border: solid black 1px">Effective<br/>Temperature<br/>Range (&deg;C)</th>  <th align="center" style="vert-align: middle; border: solid black 1px">Optimum<br/>pH</th></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">A</td>  <td align="center" style="vert-align: middle; border: solid black 1px">40&ndash;55</td>  <td align="center" style="vert-align: middle; border: solid black 1px">9.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">B</td>  <td align="center" style="vert-align: middle; border: solid black 1px">15&ndash;25</td>  <td align="center" style="vert-align: middle; border: solid black 1px">5.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">C</td>  <td align="center" style="vert-align: middle; border: solid black 1px">75&ndash;85</td>  <td align="center" style="vert-align: middle; border: solid black 1px">7.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">D</td>  <td align="center" style="vert-align: middle; border: solid black 1px">30&ndash;42</td>  <td align="center" style="vert-align: middle; border: solid black 1px">1.0&nbsp;</td></tr></table>  <p>Which one of the enzymes would be most active under the following conditions?</p> <p>The temperature is 39&deg;C and the pH is 1.0.</p>	A.  Enzyme A&nbsp; 	Incorrect	B.  Enzyme B&nbsp; 	Incorrect	C.  Enzyme C&nbsp; 	Incorrect	D.  Enzyme D&nbsp; 	Correct
MC	<p>009. d8e0</p> <table border="0" style="border-collapse: collapse; border: white solid 0px; width: 400px;"><tr>  <th align="center" style="vert-align: middle; border: solid black 1px">Enzyme</th>  <th align="center" style="vert-align: middle; border: solid black 1px">Effective<br/>Temperature<br/>Range (&deg;C)</th>  <th align="center" style="vert-align: middle; border: solid black 1px">Optimum<br/>pH</th></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">A</td>  <td align="center" style="vert-align: middle; border: solid black 1px">35&ndash;53</td>  <td align="center" style="vert-align: middle; border: solid black 1px">9.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">B</td>  <td align="center" style="vert-align: middle; border: solid black 1px">55&ndash;67</td>  <td align="center" style="vert-align: middle; border: solid black 1px">6.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">C</td>  <td align="center" style="vert-align: middle; border: solid black 1px">25&ndash;33</td>  <td align="center" style="vert-align: middle; border: solid black 1px">4.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">D</td>  <td align="center" style="vert-align: middle; border: solid black 1px">70&ndash;80</td>  <td align="center" style="vert-align: middle; border: solid black 1px">2.0&nbsp;</td></tr></table>  <p>Which one of the enzymes would be most active under the following conditions?</p> <p>The temperature is 39&deg;C and the pH is 9.2.</p>	A.  Enzyme A&nbsp; 	Correct	B.  Enzyme B&nbsp; 	Incorrect	C.  Enzyme C&nbsp; 	Incorrect	D.  Enzyme D&nbsp; 	Incorrect
MC	<p>010. 08cc</p> <table border="0" style="border-collapse: collapse; border: white solid 0px; width: 400px;"><tr>  <th align="center" style="vert-align: middle; border: solid black 1px">Enzyme</th>  <th align="center" style="vert-align: middle; border: solid black 1px">Effective<br/>Temperature<br/>Range (&deg;C)</th>  <th align="center" style="vert-align: middle; border: solid black 1px">Optimum<br/>pH</th></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">A</td>  <td align="center" style="vert-align: middle; border: solid black 1px">15&ndash;23</td>  <td align="center" style="vert-align: middle; border: solid black 1px">8.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">B</td>  <td align="center" style="vert-align: middle; border: solid black 1px">65&ndash;83</td>  <td align="center" style="vert-align: middle; border: solid black 1px">3.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">C</td>  <td align="center" style="vert-align: middle; border: solid black 1px">25&ndash;37</td>  <td align="center" style="vert-align: middle; border: solid black 1px">5.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">D</td>  <td align="center" style="vert-align: middle; border: solid black 1px">40&ndash;50</td>  <td align="center" style="vert-align: middle; border: solid black 1px">10.0&nbsp;</td></tr></table>  <p>Which one of the enzymes would be most active under the following conditions?</p> <p>The temperature is 26&deg;C and the pH is 4.8.</p>	A.  Enzyme A&nbsp; 	Incorrect	B.  Enzyme B&nbsp; 	Incorrect	C.  Enzyme C&nbsp; 	Correct	D.  Enzyme D&nbsp; 	Incorrect
MC	<p>011. b5b2</p> <table border="0" style="border-collapse: collapse; border: white solid 0px; width: 400px;"><tr>  <th align="center" style="vert-align: middle; border: solid black 1px">Enzyme</th>  <th align="center" style="vert-align: middle; border: solid black 1px">Effective<br/>Temperature<br/>Range (&deg;C)</th>  <th align="center" style="vert-align: middle; border: solid black 1px">Optimum<br/>pH</th></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">A</td>  <td align="center" style="vert-align: middle; border: solid black 1px">45&ndash;55</td>  <td align="center" style="vert-align: middle; border: solid black 1px">3.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">B</td>  <td align="center" style="vert-align: middle; border: solid black 1px">70&ndash;78</td>  <td align="center" style="vert-align: middle; border: solid black 1px">8.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">C</td>  <td align="center" style="vert-align: middle; border: solid black 1px">30&ndash;48</td>  <td align="center" style="vert-align: middle; border: solid black 1px">5.0&nbsp;</td></tr><tr>  <td align="center" style="vert-align: middle; border: solid black 1px">D</td>  <td align="center" style="vert-align: middle; border: solid black 1px">60&ndash;75</td>  <td align="center" style="vert-align: middle; border: solid black 1px">10.0&nbsp;</td></tr></table>  <p>Which one of the enzymes would be most active under the following conditions?</p> <p>The temperature is 77&deg;C and the pH is 7.8.</p>	A.  Enzyme A&nbsp; 	Incorrect	B.  Enzyme B&nbsp; 	Correct	C.  Enzyme C&nbsp; 	Incorrect	D.  Enzyme D&nbsp; 	Incorrect
