chapter,topic,script,flags,input,notes
molecular_biology,topic02,problems/molecular_biology-problems/consensus_sequence_MC.py,,,
molecular_biology,topic02,problems/molecular_biology-problems/palindrome_sequence_match.py,,,
molecular_biology,topic02,problems/molecular_biology-problems/chargaff_dna_percent.py,,,
molecular_biology,topic02,problems/molecular_biology-problems/consensus_sequence_FIB-hard.py,,,
molecular_biology,topic02,problems/molecular_biology-problems/complementary_sequences.py,,,
molecular_biology,topic02,problems/molecular_biology-problems/dna_melting_temp.py,,,
molecular_biology,topic02,problems/molecular_biology-problems/consensus_sequence_FIB-easy.py,,,
molecular_biology,topic04,problems/molecular_biology-problems/amplicon_copies.py,,,
molecular_biology,topic04,problems/molecular_biology-problems/nested_pcr_design.py,,,
molecular_biology,topic04,problems/molecular_biology-problems/inverse_pcr_design.py,,,
molecular_biology,topic04,problems/molecular_biology-problems/linear_digest.py,,,
molecular_biology,topic04,problems/molecular_biology-problems/dna_gel-closest_farthest_MC.py,,,
molecular_biology,topic04,problems/molecular_biology-problems/consensus_sequence_FIB-arbitrary_code.py,,,
molecular_biology,topic04,problems/molecular_biology-problems/dna_gel-estimate_size-MC_or_NUM.py,,,
molecular_biology,topic04,problems/molecular_biology-problems/pcr_design.py,,,
molecular_biology,topic05,problems/molecular_biology-problems/RT-qPCR.py,,,
molecular_biology,topic07,problems/molecular_biology-problems/rna_transcribe_prime.py,,,
molecular_biology,topic07,problems/molecular_biology-problems/rna_transcribe_prime_fill_blank.py,,,
molecular_biology,topic07,problems/molecular_biology-problems/rna_transcribe_fill_blank.py,,,
molecular_biology,topic07,problems/molecular_biology-problems/enhancer_gene_expression.py,,,
molecular_biology,topic08,problems/molecular_biology-problems/exon_splicing.py,,,
molecular_biology,topic09,problems/molecular_biology-problems/translate_genetic_code.py,,,
