chapter,topic,script,flags,input,notes
genetics,topic03,problems/dna_profiling-problems/who_killer_html.py,,,
genetics,topic03,problems/dna_profiling-problems/blood_type_agglutination_test.py,,,
genetics,topic03,problems/dna_profiling-problems/who_father_html.py,,,
genetics,topic04,problems/inheritance-problems/blood_type_offspring.py,,,
genetics,topic04,problems/inheritance-problems/pedigrees/write_pedigree_match_random.py,,,
genetics,topic04,problems/inheritance-problems/monohybrid_genotype_statements.py,,,
genetics,topic04,problems/inheritance-problems/monohybrid_degrees_of_dominance.py,,,
genetics,topic04,problems/inheritance-problems/lethal_allele_survival.py,,,
genetics,topic04,problems/inheritance-problems/pedigrees/write_pedigree_choice.py,,,
genetics,topic04,problems/inheritance-problems/punnett_choice.py,,,
genetics,topic04,problems/inheritance-problems/probabiliy_of_progeny.py,,,
genetics,topic04,problems/inheritance-problems/blood_type_mother.py,,,
genetics,topic04,problems/inheritance-problems/dominant_and_X-linked_recessive.py,,,
genetics,topic04,problems/inheritance-problems/pedigrees/write_pedigree_match.py,,,
genetics,topic04,problems/inheritance-problems/monohybrid_litter_inference.py,,,
genetics,topic04,problems/inheritance-problems/dominant_and_X-linked_recessive_variations.py,,,
genetics,topic04,problems/dna_profiling-problems/hla_genotype.py,,,
genetics,topic05,problems/inheritance-problems/epistasis/dihybrid_cross_epistatic_gene_interactions.py,,,
genetics,topic05,problems/inheritance-problems/epistasis/dihybrid_cross_epistatic_gene_metabolics.py,,,
genetics,topic05,problems/inheritance-problems/epistasis/epistasis_test_cross.py,,,
genetics,topic05,problems/inheritance-problems/horses.py,,,
genetics,topic06,problems/inheritance-problems/polyploid/polyploid-gametes.py,,,
genetics,topic06,problems/inheritance-problems/poisson_flies.py,,,
genetics,topic06,problems/inheritance-problems/x_linked_tortoiseshell.py,,,
genetics,topic06,problems/inheritance-problems/x_linked_reciprocal_cross.py,,,
genetics,topic07,problems/inheritance-problems/chi_square/chi_square_calculated.py,,,
genetics,topic07,problems/inheritance-problems/chi_square/chi_square_choices.py,,,
genetics,topic07,problems/inheritance-problems/chi_square/chi_square_hardy_weinberg.py,,,
genetics,topic07,problems/inheritance-problems/chi_square/chi_square_hypotheses.py,,,
genetics,topic07,problems/inheritance-problems/chi_square/chi_square_hypotheses_lab_partner.py,,,
genetics,topic07,problems/inheritance-problems/chi_square/chi_square_errors.py,,,
genetics,topic08,problems/inheritance-problems/gene_mapping/tetrad_unordered_three_gene-distances_plus.py,,,
genetics,topic08,problems/inheritance-problems/gene_mapping/three-point_test_cross-distances_plus.py,,,
genetics,topic08,problems/inheritance-problems/gene_mapping/two-point_test_cross-cis-trans.py,,,
genetics,topic08,problems/inheritance-problems/gene_mapping/tetrad_unordered_two_gene-test_linkage.py,,,
genetics,topic08,problems/inheritance-problems/deletion_mutants/deletion_mutant_words.py,,,
genetics,topic08,problems/inheritance-problems/deletion_mutants/deletion_mutant_random.py,,,
genetics,topic09,problems/inheritance-problems/cytogenetic_notation/cytogenetic_notation-aneuploidy.py,,,
genetics,topic09,problems/inheritance-problems/cytogenetic_notation/cytogenetic_notation-band_order.py,,,
genetics,topic09,problems/inheritance-problems/polyploid/polyploid-monoploid_v_haploid.py,,,
genetics,topic09,problems/inheritance-problems/cytogenetic_notation/cytogenetic_notation-sub-band_notation.py,,,
genetics,topic09,problems/inheritance-problems/translocation/letter_translocation_problem_color.py,,,
genetics,topic09,problems/inheritance-problems/translocation/robertsonian.py,,,
genetics,topic09,problems/inheritance-problems/translocation/translocation_meiosis_table.py,,,
genetics,topic09,problems/inheritance-problems/cytogenetic_notation/cytogenetic_notation-rearrangements.py,,,
genetics,topic10,problems/inheritance-problems/hardy_weinberg/hardy_weinberg_mc_type.py,,,
genetics,topic10,problems/inheritance-problems/hardy_weinberg/hardy_weinberg_numeric.py,,,
genetics,topic11,problems/inheritance-problems/phylogenetic_trees/gene_tree_choice_plus.py,,,
