chapter,topic,script,flags,input,notes
laboratory,topic01,problems/laboratory-problems/pipet_size_mc.py,,,
laboratory,topic01,problems/laboratory-problems/orders_of_magnitude_mc.py,,,
laboratory,topic02,problems/laboratory-problems/solution-mass_vol-numeric.py,,,
laboratory,topic02,problems/laboratory-problems/solution-molarity-mol_weight-numeric.py,,,
laboratory,topic02,problems/laboratory-problems/solution-mass_concentration-numeric.py,,,
laboratory,topic02,problems/laboratory-problems/dilution_factor_calc_numeric.py,,,
laboratory,topic02,problems/laboratory-problems/percent_dilution_aliquot_numeric.py,,,
laboratory,topic02,problems/laboratory-problems/solution-vol_vol-numeric.py,,,
laboratory,topic03,problems/laboratory-problems/dilution_factor_aliquot_numeric.py,,,
laboratory,topic03,problems/laboratory-problems/dilution_factor_mc.py,,,
laboratory,topic03,problems/laboratory-problems/serial_dilution_factor_aliquot_numeric.py,,,
laboratory,topic03,problems/laboratory-problems/serial_dilution_factor_diluent_numeric.py,,,
laboratory,topic03,problems/laboratory-problems/serial_dilution_factor_mc.py,,,
laboratory,topic03,problems/laboratory-problems/dilution_factor_diluent_numeric.py,,,
