subject,topic,script,flags,input,notes
genetics,topic01,YMATCH,,{bp_root}/matching_sets/inheritance/genetic_disorders.yml,
genetics,topic04,YMATCH,,{bp_root}/matching_sets/inheritance/monohybrid_cross_genotype.yml,
genetics,topic04,YMATCH,,{bp_root}/matching_sets/inheritance/mendel_four_principles.yml,
genetics,topic04,YMATCH,,{bp_root}/matching_sets/inheritance/mendelian_genetics_terms.yml,
genetics,topic04,YMATCH,,{bp_root}/matching_sets/inheritance/mendel_cross_terminology.yml,
genetics,topic04,YMATCH,,{bp_root}/matching_sets/inheritance/genetics_terminology.yml,
genetics,topic05,YMATCH,,{bp_root}/matching_sets/inheritance/degrees_of_dominance.yml,
genetics,topic06,YMATCH,,{bp_root}/matching_sets/inheritance/sex_determination.yml,
genetics,topic06,YMCS,,{bp_root}/multiple_choice_statements/inheritance/mitosis_and_meiosis.yml,
genetics,topic06,YMATCH,,{bp_root}/matching_sets/inheritance/meiosis_terms.yml,
genetics,topic06,YMATCH,,{bp_root}/matching_sets/inheritance/meiosis_prophase_1.yml,
genetics,topic09,YMATCH,,{bp_root}/matching_sets/inheritance/chromosome_shapes.yml,
genetics,topic09,YMATCH,,{bp_root}/matching_sets/inheritance/chromosome_alterations.yml,
genetics,topic10,YMCS,,{bp_root}/multiple_choice_statements/inheritance/h-w_non-evolve_criteria.yml,
genetics,topic10,YMATCH,,{bp_root}/matching_sets/inheritance/population_genetics_terms.yml,
